name,proportion_male,proportion_female,gender
Dawn,0.0033,0.9967,female
Dayna,0.0062,0.9938,female
Dean,0.9877,0.0123,male
Deann,0,1,female
Deanna,0.0019,0.9981,female
Deanne,3e-4,0.9997,female
Deb,0,1,female
Debbie,0.0022,0.9978,female
Debera,0,1,female
Debi,0,1,female
Debora,9e-4,0.9991,female
Deborah,0.0021,0.9979,female
Debra,0.002,0.998,female
Dee,0.2062,0.7938,female
Deepak,1,0,male
Dell,0.6631,0.3369,male
Della,6e-4,0.9994,female
DeMara,0,1,female
Demian,0.9846,0.0154,male
Dena,0.0018,0.9982,female
Denice,0,1,female
Denis,0.9614,0.0386,male
Denise,0.0035,0.9965,female
Dennis,0.9957,0.0043,male
Derek,0.9953,0.0047,male
Derric,1,0,male
Desiree,0.0025,0.9975,female
Devin,0.8824,0.1176,male
Devlin,0.9414,0.0586,male
Devon,0.7466,0.2534,male
Diana,0.0036,0.9964,female
Dianna,0.0011,0.9989,female
Dianne,0.0019,0.9981,female
Dina,0.0026,0.9974,female
Dion,0.9331,0.0669,male
Dixie,0.0111,0.9889,female
Dominic,0.9879,0.0121,male
Don,0.9938,0.0062,male
Donal,0.9978,0.0022,male
Donald,0.9962,0.0038,male
Dong,1,0,male
Donita,0,1,female
Donna,0.0025,0.9975,female
Dontre,1,0,male
Dorian,0.7594,0.2406,male
Dorit,0,1,female
Dorothy,0.0038,0.9962,female
Doug,0.9998,2e-4,male
Douglas,0.9965,0.0035,male
Drew,0.9231,0.0769,male
Duncan,0.9995,5e-4,male
Dusti,0.0052,0.9948,female
Dustin,0.9926,0.0074,male
Dwaine,1,0,male
Dwight,0.9952,0.0048,male
Dylan,0.9809,0.0191,male
Ean,1,0,male
Earlee,0.3863,0.6137,female
Ed,1,0,male
Eduardo,0.9944,0.0056,male
Edward,0.9957,0.0043,male
Edwin,0.9945,0.0055,male
Ehren,0.9802,0.0198,male
Eileen,0.0023,0.9977,female
Ekaterina,0,1,female
Ela,0,1,female
Elain,0,1,female
Elaine,0.0024,0.9976,female
Eleanor,0.0023,0.9977,female
Elena,0.002,0.998,female
Eliott,1,0,male
Elisa,0.0032,0.9968,female
Elisabeth,8e-4,0.9992,female
Elise,6e-4,0.9994,female
Elissa,0,1,female
Eliza,0.0028,0.9972,female
Elizabeth,0.0032,0.9968,female
Ellen,0.0026,0.9974,female
Elli,0.0089,0.9911,female
Ellie,0.0248,0.9752,female
Elliot,0.9778,0.0222,male
Elvira,0.0012,0.9988,female
Emiko,0,1,female
Emile,0.8904,0.1096,male
Emilie,4e-4,0.9996,female
Emily,0.0022,0.9978,female
Emma,0.0026,0.9974,female
Enrique,0.9937,0.0063,male
Eric,0.9946,0.0054,male
Erica,0.0044,0.9956,female
Erich,0.9973,0.0027,male
Eriel,0.0416,0.9584,female
Erik,0.9949,0.0051,male
Erika,0.0045,0.9955,female
Erin,0.0265,0.9735,female
Ernie,0.9805,0.0195,male
Esther,0.004,0.996,female
Ethan,0.9978,0.0022,male
Eugene,0.9937,0.0063,male
Evan,0.9818,0.0182,male
Evelyn,0.0043,0.9957,female
Ezequiel,1,0,male
Fabiola,0.0073,0.9927,female
Faith,0.0016,0.9984,female
Farhad,1,0,male
Farid,1,0,male
Felicia,0.003,0.997,female
Felipe,0.9942,0.0058,male
Felisha,0,1,female
Felix,0.9899,0.0101,male
Fernando,0.9922,0.0078,male
Finn,0.9755,0.0245,male
Ford,1,0,male
Francine,3e-4,0.9997,female
Francis,0.9135,0.0865,male
Francisca,0.0044,0.9956,female
Francisco,0.9912,0.0088,male
Frank,0.9953,0.0047,male
Franziska,0,1,female
Fred,0.9953,0.0047,male
Freddy,0.9934,0.0066,male
Frederick,0.9951,0.0049,male
